date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-06-30	03:00	Spain	Core CPI	2.9%		2.9%	Y
2026-06-30	03:00	Spain	Spanish CPI	0.6%		0.1%	Y
2026-06-30	03:00	Spain	Spanish CPI	3.2%	3.2%	3.2%	Y
2026-06-30	03:00	Spain	Spanish Retail Sales	1.3%		0.6%	Y
2026-06-30	05:00	Euro Zone	Consumer Confidence	-17.7	-17.7	-17.7	Y
2026-06-30	19:00	South Korea	Retail Sales	0.1%		-3.5%	Y
2026-06-30	19:30	Japan	Unemployment Rate	2.5%	2.5%	2.5%	Y
2026-06-30	21:30	China	Chinese Composite PMI	50.6		50.5	Y
2026-06-30	21:30	China	Manufacturing PMI	50.3	50.1	50.0	Y
2026-06-30	21:30	China	Non-Manufacturing PMI	50.2	49.9	50.1	Y
2026-07-01	02:00	United Kingdom	GDP	0.6%	0.6%	0.1%	Y
2026-07-01	02:00	United Kingdom	GDP	0.9%	1.1%	0.9%	Y
2026-07-01	02:00	Germany	German Retail Sales	1.1%	0.0%	-0.4%	Y
2026-07-01	02:00	Germany	German Retail Sales	1.8%	0.0%	-0.6%	Y
2026-07-01	02:45	France	French CPI	-0.2%	0.0%	0.1%	Y
2026-07-01	02:45	France	French CPI	1.8%	2.1%	2.4%	Y
2026-07-01	02:45	France	French PPI	-0.3%		-2.0%	Y
2026-07-01	02:45	France	PPI	3.00%		2.30%	Y
2026-07-01	03:55	Germany	German Unemployment Rate	6.3%	6.3%	6.3%	Y
2026-07-01	04:00	Italy	Italian PPI	-0.2%		0.3%	Y
2026-07-01	04:00	Italy	Italian PPI	7.3%		6.8%	Y
2026-07-01	04:00	Germany	Baden Wuerttemberg CPI	-0.2%		-0.3%	Y
2026-07-01	04:00	Germany	Baden Wuerttemberg CPI	2.1%		2.4%	Y
2026-07-01	04:00	Germany	Bavaria CPI	2.5%		2.6%	Y
2026-07-01	04:00	Germany	Bavaria CPI	-0.2%		-0.2%	Y
2026-07-01	04:00	Germany	Brandenburg CPI	2.4%		2.8%	Y
2026-07-01	04:00	Germany	Brandenburg CPI	-0.2%		-0.1%	Y
2026-07-01	04:00	Germany	Hesse CPI	-0.2%		-0.2%	Y
2026-07-01	04:00	Germany	Hesse CPI	2.3%		2.6%	Y
2026-07-01	04:00	Germany	North Rhine Westphalia CPI	-0.4%		-0.2%	Y
2026-07-01	04:00	Germany	North Rhine Westphalia CPI	2.1%		2.4%	Y
2026-07-01	04:00	Germany	Saxony CPI	2.3%		2.8%	Y
2026-07-01	04:00	Germany	Saxony CPI	-0.3%		-0.1%	Y
2026-07-01	05:00	Italy	Italian CPI	0.0%	0.2%	0.4%	Y
2026-07-01	05:00	Italy	Italian CPI	3.0%	3.1%	3.2%	Y
2026-07-01	07:30	Brazil	Net Debt-to-GDP ratio	67.9%		67.4%	Y
2026-07-01	07:30	Brazil	Gross Debt-to-GDP ratio	81.1%		80.2%	Y
2026-07-01	08:00	Germany	German CPI	-0.3%	0.0%	-0.2%	Y
2026-07-01	08:00	Germany	German CPI	2.3%	2.6%	2.6%	Y
2026-07-01	08:00	Brazil	Brazilian PPI	-0.30%		2.62%	Y
2026-07-01	08:30	Canada	GDP	0.5%	0.4%	-0.1%	Y
2026-07-01	08:31	Canada	GDP	0.1%		0.5%	Y
2026-07-01	09:45	United States	Chicago PMI	&nbsp;	55.7	62.7	Y
2026-07-01	10:00	United States	CB Consumer Confidence	&nbsp;	94.4	93.1	Y
2026-07-01	12:03	Russia	GDP Monthly	&nbsp;		1.3%	Y
